x,y
-126.946654,10.243980
-126.746257,10.243980
-127.347449,10.243980
-127.147052,10.243980
-126.545859,10.243980
-125.944666,10.243980
-125.744269,10.243980
-126.345461,10.243980
-126.145064,10.243980
-128.750232,10.243980
-128.549834,10.243980
-129.151027,10.243980
-128.950630,10.243980
-128.349437,10.243980
-127.748244,10.243980
-127.547847,10.243980
-128.149039,10.243980
-127.948642,10.243980
-125.543871,10.243980
-123.139101,10.243980
-122.938703,10.243980
-123.539896,10.243980
-123.339498,10.243980
-122.738306,10.243980
-122.137113,10.243980
-121.936716,10.243980
-122.537908,10.243980
-122.337511,10.243980
-124.942679,10.243980
-124.742281,10.243980
-125.343474,10.243980
-125.143076,10.243980
-124.541884,10.243980
-123.940691,10.243980
-123.740293,10.243980
-124.341486,10.243980
-124.141089,10.243980
-129.351425,10.243980
-134.561761,10.243980
-134.361363,10.243980
-134.962556,10.243980
-134.762158,10.243980
-134.160966,10.243980
-133.559773,10.243980
-133.359375,10.243980
-133.960568,10.243980
-133.760171,10.243980
-136.365339,10.243980
-136.164941,10.243980
-136.766134,10.243980
-136.565736,10.243980
-135.964544,10.243980
-135.363351,10.243980
-135.162953,10.243980
-135.764146,10.243980
-135.563748,10.243980
-133.158978,10.243980
-130.754207,10.243980
-130.553810,10.243980
-131.155002,10.243980
-130.954605,10.243980
-130.353412,10.243980
-129.752220,10.243980
-129.551822,10.243980
-130.153015,10.243980
-129.952617,10.243980
-132.557785,10.243980
-132.357388,10.243980
-132.958580,10.243980
-132.758183,10.243980
-132.156990,10.243980
-131.555798,10.243980
-131.355400,10.243980
-131.956593,10.243980
-131.756195,10.243980
-111.916838,10.243980
-111.716441,10.243980
-112.317633,10.243980
-112.117236,10.243980
-111.516043,10.243980
-110.914851,10.243980
-110.714453,10.243980
-111.315646,10.243980
-111.115248,10.243980
-113.720416,10.243980
-113.520019,10.243980
-114.121211,10.243980
-113.920814,10.243980
-113.319621,10.243980
-112.718429,10.243980
-112.518031,10.243980
-113.119224,10.243980
-112.918826,10.243980
-110.514056,10.243980
-108.109285,10.243980
-107.908888,10.243980
-108.510080,10.243980
-108.309683,10.243980
-107.708490,10.243980
-107.107297,10.243980
-106.906977,10.240016
-107.508092,10.243980
-107.307695,10.243980
-109.912863,10.243980
-109.712465,10.243980
-110.313658,10.243980
-110.113261,10.243980
-109.512068,10.243980
-108.910875,10.243980
-108.710478,10.243980
-109.311670,10.243980
-109.111273,10.243980
-114.321609,10.243980
-119.531945,10.243980
-119.331547,10.243980
-119.932740,10.243980
-119.732343,10.243980
-119.131150,10.243980
-118.529957,10.243980
-118.329560,10.243980
-118.930752,10.243980
-118.730355,10.243980
-121.335523,10.243980
-121.135125,10.243980
-121.736318,10.243980
-121.535920,10.243980
-120.934728,10.243980
-120.333535,10.243980
-120.133138,10.243980
-120.734330,10.243980
-120.533933,10.243980
-118.129162,10.243980
-115.724392,10.243980
-115.523994,10.243980
-116.125187,10.243980
-115.924789,10.243980
-115.323597,10.243980
-114.722404,10.243980
-114.522006,10.243980
-115.123199,10.243980
-114.922802,10.243980
-117.527970,10.243980
-117.327572,10.243980
-117.928765,10.243980
-117.728367,10.243980
-117.127175,10.243980
-116.525982,10.243980
-116.325584,10.243980
-116.926777,10.243980
-116.726379,10.243980
-157.006285,10.243980
-156.805888,10.243980
-157.407081,10.243980
-157.206683,10.243980
-156.605490,10.243980
-156.004298,10.243980
-155.803900,10.243980
-156.405093,10.243980
-156.204695,10.243980
-158.809863,10.243980
-158.609466,10.243980
-159.210658,10.243980
-159.010261,10.243980
-158.409068,10.243980
-157.807876,10.243980
-157.607478,10.243980
-158.208671,10.243980
-158.008273,10.243980
-155.603503,10.243980
-153.198732,10.243980
-152.998335,10.243980
-153.599527,10.243980
-153.399130,10.243980
-152.797937,10.243980
-152.196744,10.243980
-151.996347,10.243980
-152.597540,10.243980
-152.397142,10.243980
-155.002310,10.243980
-154.801913,10.243980
-155.403105,10.243980
-155.202708,10.243980
-154.601515,10.243980
-154.000322,10.243980
-153.799925,10.243980
-154.401117,10.243980
-154.200720,10.243980
-159.411056,10.243980
-164.621392,10.243980
-164.420995,10.243980
-165.022187,10.243980
-164.821790,10.243980
-164.220597,10.243980
-163.619404,10.243980
-163.419007,10.243980
-164.020199,10.243980
-163.819802,10.243980
-166.424970,10.243980
-166.224572,10.243980
-166.825765,10.243980
-166.625368,10.243980
-166.024175,10.243980
-165.422982,10.243980
-165.222585,10.243980
-165.823777,10.243980
-165.623380,10.243980
-163.218609,10.243980
-160.813839,10.243980
-160.613441,10.243980
-161.214634,10.243980
-161.014236,10.243980
-160.413044,10.243980
-159.811851,10.243980
-159.611454,10.243980
-160.212646,10.243980
-160.012249,10.243980
-162.617417,10.243980
-162.417019,10.243980
-163.018212,10.243980
-162.817814,10.243980
-162.216622,10.243980
-161.615429,10.243980
-161.415031,10.243980
-162.016224,10.243980
-161.815827,10.243980
-141.976470,10.243980
-141.776072,10.243980
-142.377265,10.243980
-142.176867,10.243980
-141.575675,10.243980
-140.974482,10.243980
-140.774085,10.243980
-141.375277,10.243980
-141.174880,10.243980
-143.780048,10.243980
-143.579650,10.243980
-144.180843,10.243980
-143.980445,10.243980
-143.379253,10.243980
-142.778060,10.243980
-142.577662,10.243980
-143.178855,10.243980
-142.978458,10.243980
-140.573687,10.243980
-138.168916,10.243980
-137.968519,10.243980
-138.569712,10.243980
-138.369314,10.243980
-137.768121,10.243980
-137.166929,10.243980
-136.966531,10.243980
-137.567724,10.243980
-137.367326,10.243980
-139.972494,10.243980
-139.772097,10.243980
-140.373289,10.243980
-140.172892,10.243980
-139.571699,10.243980
-138.970507,10.243980
-138.770109,10.243980
-139.371302,10.243980
-139.170904,10.243980
-144.381240,10.243980
-149.591576,10.243980
-149.391179,10.243980
-149.992372,10.243980
-149.791974,10.243980
