x,y,fb_velocity,fb_steering
-10.2933,17.716,1.46585,-0.0213629
-10.2914,17.955,1.48193,-0.0243474
-10.2889,18.1922,1.46305,-0.0292169
-10.2858,18.4269,1.46305,-0.0348718
-10.2819,18.6613,1.47144,-0.0339293
-10.2769,18.8966,1.47144,-0.0290598
-10.2706,19.1352,1.49242,-0.0284315
-10.2633,19.3739,1.48683,-0.0285886
-10.2553,19.6119,1.48683,-0.025447
-10.2466,19.8499,1.50012,-0.0249757
-10.2349,20.0888,1.50012,-0.0249757
-10.2244,20.33,1.5155,-0.0199492
-10.2133,20.5723,1.53648,-0.0197921
-10.2017,20.8173,1.53648,-0.019635
-10.1898,21.0631,1.54487,-0.0194779
-10.1789,21.3104,1.54487,-0.0193208
-10.1665,21.5568,1.53928,-0.0193208
-10.1537,21.8029,1.52879,-0.0141372
-10.1406,22.0475,1.52879,0.00581196
-10.1139,22.3168,1.52879,0.00612612
-10.0978,22.56,1.5183,0.00675444
-10.0824,22.8018,1.48403,0.00675444
-10.068,23.0391,1.48403,0.00722568
-10.0546,23.2747,1.45815,0.007854
-10.0336,23.5167,1.37423,0.0160222
-10.0225,23.7422,1.37423,0.0100531
-10.0126,23.9602,1.29311,0.00958188
-10.0042,24.1676,1.29311,0.00973896
-9.99869,24.3684,1.21408,0.00816816
-9.99084,24.609,1.11197,0.00832524
-9.98463,24.8321,1.11197,0.0113098
-9.9797,25.0403,1.00707,0.0131947
-9.97461,25.2694,0.954619,0.0106814
-9.97073,25.4913,0.881187,0.0094248
-9.9677,25.7041,0.912658,0.00926772
-9.96533,25.9132,0.902168,0.0100531
-9.96355,26.1298,0.920351,0.003927
-9.96233,26.3505,0.933639,0.00518364
-9.96151,26.5733,0.875592,0.00424116
-9.96105,26.785,0.833631,0.00502656
-9.96113,26.986,0.833631,0.00534072
-9.96171,27.1964,0.894475,0.00534072
-9.90817,27.406,0.875592,0.00612612
-9.90912,27.6201,0.89937,0.00753984
-9.91059,27.8408,0.936436,0.00612612
-9.91296,28.0675,0.959515,0.00722568
-9.91564,28.2961,0.941332,0.00753984
-9.91892,28.5214,0.930841,0.00722568
-9.92298,28.7451,0.936436,0.00565488
-9.89221,28.9508,0.954619,-0.00659736
