x,y,fb_velocity,fb_steering
-11.9656,15.8203,0.356671,-0.0194779
-11.9302,16.0224,0.440594,-0.0193208
-11.9524,16.2221,0.46647,-0.0190067
-11.9687,16.4295,0.464372,-0.0237191
-11.9931,16.6466,0.469267,-0.029374
-11.9033,16.8503,0.529412,-0.041155
-11.923,17.0515,0.57417,-0.041155
-11.936,17.2615,0.629419,-0.041155
-11.9548,17.4638,0.642707,-0.041155
-11.9673,17.6665,0.637112,-0.0409979
-11.9847,17.8713,0.642707,-0.0406837
-11.9019,18.0874,0.692361,-0.0403696
-11.9186,18.3101,0.73712,-0.0307877
-11.9273,18.5338,0.74761,-0.0276461
-11.9424,18.747,0.779081,-0.027489
-11.957,18.9664,0.80216,-0.0267036
-11.9724,19.1885,0.79167,-0.0183784
-11.9897,19.4326,0.797265,-0.0183784
-11.9041,19.6569,0.804957,-0.0183784
-11.9187,19.8825,0.807755,-0.019635
-11.9281,20.095,0.828735,-0.0271748
-11.941,20.2957,0.839226,-0.0383275
-11.961,20.5015,0.854612,-0.0383275
-11.9733,20.7091,0.875592,-0.0380134
-11.985,20.9179,0.863004,-0.0345576
-11.9861,21.1395,0.867899,-0.0300023
-11.9962,21.3483,0.875592,-0.0285886
-11.9225,21.561,0.87839,-0.0284315
-11.932,21.7721,0.902168,-0.0289027
-11.9307,21.9946,0.881187,-0.0270178
-11.9399,22.2063,0.88888,-0.0204204
-11.9493,22.4195,0.88888,-0.00722568
-11.9513,22.6455,0.89937,0.00424116
-11.9616,22.8617,0.902168,0.0205775
-11.9828,23.0616,0.923148,0.0204204
-11.9968,23.282,0.917554,-0.0023562
-11.9119,23.5025,0.925946,-0.0070686
-11.9357,23.7279,0.936436,-0.00219912
-11.9519,23.9525,0.951822,-0.00188496
-11.9656,24.1877,0.972803,-0.00345576
-11.9834,24.4203,0.957417,-0.0245045
-12.0011,24.6496,0.962312,-0.0205775
-12.0185,24.8589,0.962312,-0.0306306
-12.036,25.0931,0.980495,-0.0260753
-12.0525,25.3555,0.972803,-0.0142943
-12.0689,25.5854,0.954619,-0.0139801
-12.0853,25.8166,0.9756,-0.0146084
-12.1022,26.0486,0.962312,-0.0179071
-12.1188,26.2783,0.949024,-0.019635
-12.1351,26.5055,0.946926,-0.0169646
-12.1438,26.7422,0.962312,-0.011781
-12.1607,26.9722,0.946926,-0.0168076
-12.1697,27.2085,0.978397,-0.0149226
-12.1868,27.4425,0.978397,-0.0124093
-12.2041,27.6597,0.978397,-0.0070686
-12.2218,27.8978,1.00148,-0.0070686
-12.2402,28.1366,0.996581,-0.0122522
-12.2658,28.402,0.983293,-0.0119381
-12.2846,28.6392,1.00427,-0.0119381
-12.3006,28.8402,1.00987,-0.0105244
-12.3072,29.0573,1.04134,-0.00219912
-12.3235,29.2647,1.04134,-0.00219912
-12.3403,29.4709,1.03295,-0.0023562
-12.3572,29.6783,1.04134,-0.00329868
-12.3745,29.8856,1.02525,-0.00596904
-12.3916,30.0901,1.02525,-0.00675444
-12.4086,30.2926,1.01476,-0.00738276
-12.396,30.511,0.990986,-0.0103673
-12.4181,30.7461,0.970005,-0.021677
-12.4397,30.9771,0.933639,-0.0193208
-12.4654,31.1931,0.928044,-0.0188496
-12.4853,31.415,0.928044,-0.019635
-12.5045,31.633,0.909861,-0.015708
-12.5232,31.8478,0.907063,-0.0169646
-12.5412,32.0681,0.923148,-0.0144514
-12.5586,32.2843,0.896573,-0.0166505
-12.5746,32.5052,0.907063,-0.015708
-12.5917,32.7212,0.902168,-0.0147655
-12.6086,32.9377,0.909861,-0.011781
-12.63,33.167,0.873494,-0.0113098
-12.6462,33.3757,0.870697,-0.0149226
-12.6622,33.5824,0.818245,-0.0146084
-12.6787,33.8135,0.800062,-0.0146084
-12.6955,34.0365,0.797265,-0.0149226
-12.712,34.2577,0.807755,-0.0109956
-12.729,34.4837,0.81265,-0.00219912
-12.7466,34.7141,0.839226,-0.00172788
-12.7629,34.9435,0.836428,0.00455532
-12.7793,35.1467,0.860206,0.0301594
-12.8053,35.3779,0.87839,0.0552922
-12.8247,35.5865,0.867899,0.0838807
-12.8466,35.7909,0.846919,0.116082
-12.8715,35.992,0.818245,0.139644
-12.9069,36.2186,0.821043,0.139644
-12.9674,36.4389,0.846919,0.139644
-13.0133,36.6369,0.846919,0.13933
-13.065,36.8344,0.857409,0.138702
-13.1232,37.0347,0.881187,0.138702
-13.1891,37.2359,0.89937,0.128334
-13.2627,37.4389,0.904965,0.126606
-13.3561,37.6162,0.904965,0.12535
-13.4421,37.8162,0.907063,0.124407
-13.5333,38.0121,0.89937,0.123622
-13.6286,38.202,0.873494,0.122365
-13.7288,38.3871,0.87839,0.118281
-13.7823,38.6011,0.89937,0.111684
-13.8967,38.7842,0.89937,0.0956617
-14.0154,38.9638,0.88888,0.0911064
-14.1362,39.1401,0.894475,0.0907922
-14.2625,39.3136,0.863004,0.0958188
-14.4385,39.4606,0.88888,0.105087
-14.5707,39.6277,0.88888,0.105244
-14.7047,39.7887,0.870697,0.0940909
-14.8508,39.9675,0.904965,0.0830953
-14.9991,40.1273,0.907063,0.0918918
-15.1572,40.2568,0.923148,0.0873365
-15.3161,40.4131,0.933639,0.0835666
-15.4931,40.6063,0.946926,0.025447
-15.6618,40.7577,0.941332,-0.00188496
-15.8321,40.9083,0.957417,-0.00879648
-15.9939,41.0664,0.941332,-0.00753984
-16.1639,41.2143,0.928044,0
-16.3386,41.3448,0.954619,0.0105244
-16.5113,41.4941,0.954619,0.027489
-16.6795,41.6374,0.915455,0.0268607
-16.83,41.7715,0.88888,0.0237191
-16.9858,41.9005,0.825938,0.0179071
-17.1623,42.0372,0.776284,0.0119381
-17.3243,42.168,0.723832,0.00816816
-17.4816,42.3065,0.710544,0.0212058
-17.6445,42.4361,0.755303,0.0219912
-17.8138,42.5754,0.739218,0.0163363
-17.9781,42.7044,0.770689,0.021677
-18.1485,42.8225,0.836428,0.0197921
-18.307,42.9446,0.821043,0.0193208
-18.4735,43.08,0.844121,0.0339293
-18.6346,43.2025,0.844121,0.0508939
-18.8203,43.3413,0.804957,0.0508939
-19.0026,43.4751,0.836428,0.0521506
-19.1991,43.5977,0.828735,0.0662878
-19.3906,43.7303,0.842023,0.0779117
-19.5758,43.8712,0.823141,0.0815245
-19.7721,43.9957,0.844121,0.0808962
-19.9644,44.1191,0.833631,0.0808962
-20.1374,44.22,0.842023,0.0812104
-20.3347,44.3338,0.852513,0.0818387
-20.5153,44.4307,0.88888,0.0819958
-20.7191,44.5464,0.87839,0.0832524
-20.9099,44.6378,0.912658,0.0835666
